"Country","Region","Year","Population","Life.Expectancy","Health.Expenditure"
"Albania","Europe & Central Asia",1995,3141102,71.87029268,28.22458703
"Algeria","Middle East & North Africa",1995,28291591,68.46587805,62.05589356
"Angola","Sub-Saharan Africa",1995,12105105,42.05092683,20.74862862
"Argentina","Latin America & Caribbean",1995,34855160,72.62363415,615.4142626
"Armenia","Europe & Central Asia",1995,3223173,68.62046341,25.73810058
"Australia","East Asia & Pacific",1995,18072000,77.82926829,1564.944285
"Austria","Europe & Central Asia",1995,7948278,76.71560976,2876.079792
"Azerbaijan","Europe & Central Asia",1995,7685000,64.57582927,18.03309964
"Bahamas, The","Latin America & Caribbean",1995,279774,70.05636585,839.6062536
"Bahrain","Middle East & North Africa",1995,559069,73.14702439,481.8814347
"Bangladesh","South Asia",1995,117486952,62.12268293,11.37605806
"Barbados","Latin America & Caribbean",1995,263416,74.95936585,450.1055365
"Belarus","Europe & Central Asia",1995,10194000,68.46097561,69.12993509
"Belgium","Europe & Central Asia",1995,10136811,76.84073171,2136.333514
"Belize","Latin America & Caribbean",1995,216500,73.12760976,120.4951841
"Benin","Sub-Saharan Africa",1995,5651141,50.94126829,18.01648902
"Bhutan","South Asia",1995,518584,56.72339024,22.42654267
"Bolivia","Latin America & Caribbean",1995,7470925,61.09587805,40.17792593
"Bosnia and Herzegovina","Europe & Central Asia",1995,3332098,68.06819512,63.79041661
"Botswana","Sub-Saharan Africa",1995,1585637,59.19780488,124.7782423
"Brazil","Latin America & Caribbean",1995,161848162,68.34063415,316.0568547
"Brunei Darussalam","East Asia & Pacific",1995,289614,74.96741463,481.6751383
"Bulgaria","Europe & Central Asia",1995,8406067,71.05341463,81.61512375
"Burkina Faso","Sub-Saharan Africa",1995,10692138,48.9797561,10.7241997
"Burundi","Sub-Saharan Africa",1995,6086751,44.5885122,9.0893498
"Cambodia","East Asia & Pacific",1995,11169233,56.06526829,18.97864601
"Cameroon","Sub-Saharan Africa",1995,13940337,51.99190244,25.1337447
"Canada","North America",1995,29354000,77.97756098,1820.609018
"Cape Verde","Sub-Saharan Africa",1995,394946,67.18231707,65.67099483
"Central African Republic","Sub-Saharan Africa",1995,3327710,46.10629268,13.03604562
"Chad","Sub-Saharan Africa",1995,6998108,49.84973171,11.93950919
"Chile","Latin America & Caribbean",1995,14409416,75.04146341,331.1584012
"China","East Asia & Pacific",1995,1204855000,70.42473171,21.14285568
"Colombia","Latin America & Caribbean",1995,36453337,69.43668293,171.4598483
"Comoros","Sub-Saharan Africa",1995,494486,56.70980488,21.87714413
"Congo, Dem. Rep.","Sub-Saharan Africa",1995,44067369,45.87880488,4.601678261
"Congo, Rep.","Sub-Saharan Africa",1995,2732706,54.60939024,24.49238466
