Date,Temp_High,Temp_Avg,Temp_Low,DewPoint_High,DewPoint_Avg,DewPoint_Low,Humidity_High,Humidity_Avg,Humidity_Low,Sea_Level_Press_High,Sea_Level_Press_Avg,Sea_Level_Press_Low,Visibility_High,Visibility_Avg,Visibility_Low,Wind_High,Wind_Avg,Wind_Low
9/1/16,76,72,68,71,67,55,93,75,57,29.91,29.84,29.81,10,10,7,17,8,21
9/2/16,75,70,64,61,57,54,87,70,53,30.18,30.04,29.93,10,10,10,18,10,22
9/3/16,70,65,60,59,57,54,90,76,61,30.24,30.21,30.18,10,10,10,13,7,16
9/4/16,72,66,60,60,57,54,90,72,53,30.3,30.27,30.21,10,10,10,21,12,24
9/5/16,74,67,60,63,56,48,97,73,49,30.26,30.14,30.03,10,8,2,31,19,40
9/6/16,72,68,63,67,65,62,100,92,84,30.1,30.06,30,10,6,2,24,14,30
9/7/16,76,71,65,69,67,65,100,91,82,30.09,30.04,29.98,10,7,1,14,9,19
9/8/16,76,71,66,70,68,66,100,91,82,29.98,29.89,29.81,10,7,0,15,7,22
9/9/16,93,83,73,72,68,63,87,66,44,29.97,29.84,29.77,10,10,10,16,9,24
9/10/16,78,74,70,71,66,62,93,78,62,30.09,30.02,29.95,10,10,9,16,9,19
9/11/16,83,73,63,72,62,44,93,62,30,30.13,29.92,29.83,10,10,6,35,14,47
9/12/16,72,66,59,56,49,43,73,55,37,30.25,30.2,30.15,10,10,10,15,9,18
9/13/16,83,72,60,59,55,49,84,58,31,30.22,30.15,30.06,10,10,10,21,12,27
9/14/16,90,76,62,68,60,50,87,64,40,30.16,30.01,29.91,10,10,5,25,14,32
9/15/16,66,62,57,52,49,48,77,67,56,30.31,30.25,30.17,10,10,10,16,10,20
9/16/16,70,62,54,54,52,48,83,68,53,30.37,30.31,30.24,10,10,10,20,11,-
9/17/16,78,67,55,63,56,52,87,65,43,30.29,30.2,30.09,10,10,10,21,12,24
9/18/16,82,74,66,70,67,64,93,78,62,30.06,30.03,30,10,10,10,24,13,30
9/19/16,74,71,67,71,70,68,100,94,87,30.1,30.05,30.02,10,9,4,14,6,16
9/20/16,75,71,67,70,68,67,100,90,79,30.13,30.09,30.06,10,9,5,13,6,16
9/21/16,83,76,69,67,54,41,90,57,23,30.17,30.13,30.07,10,10,10,16,8,20
9/22/16,79,70,61,61,56,53,78,60,42,30.19,30.14,30.08,10,10,10,15,7,18
9/23/16,82,69,56,62,53,48,93,65,36,30.1,30.02,29.93,10,9,2,21,9,29
9/24/16,67,61,54,56,44,36,93,64,34,30.12,30.09,30.05,10,10,10,17,10,24
9/25/16,66,58,49,39,35,30,66,47,28,30.2,30.12,30.07,10,10,10,24,12,30
9/26/16,64,56,48,50,42,37,72,58,43,30.23,30.15,30.03,10,10,9,18,9,22
9/27/16,72,66,59,62,59,51,100,83,66,30.03,29.93,29.89,10,9,4,12,5,15
9/28/16,61,59,56,60,55,51,100,90,80,30.35,30.21,30.04,10,10,7,26,18,32
9/29/16,60,57,54,52,49,47,80,74,67,30.51,30.46,30.35,10,10,10,26,18,31
9/30/16,62,59,56,57,52,48,93,83,72,30.49,30.43,30.35,10,9,3,22,18,28
