"Date" "TemperatureF" "DewPointF" "Humidity" "Sea_Pressure" "Visibility" "CloudCover" "Events"
2016-05-01 48 35 67 30.21 9 8 "Rain"
2016-05-02 47 45 93 29.99 3 8 "Rain"
2016-05-03 47 43 88 29.91 10 7 "Rain"
2016-05-04 47 42 84 29.86 8 8 "Rain"
2016-05-05 46 42 89 29.75 6 8 "Rain"
2016-05-06 50 43 82 29.85 9 8 "Rain"
2016-05-07 49 46 93 29.83 3 8 "Normal"
2016-05-08 55 44 65 29.65 7 7 "Rain"
2016-05-09 56 28 41 29.95 10 2 "Normal"
2016-05-10 59 31 36 30.12 10 2 "Normal"
2016-05-11 61 39 44 30.11 10 0 "Normal"
2016-05-12 60 37 43 30.11 10 1 "Normal"
2016-05-13 63 54 75 29.85 10 7 "Rain"
2016-05-14 68 51 59 29.66 10 5 "Rain"
2016-05-15 53 36 54 29.61 10 5 "Normal"
2016-05-16 51 26 38 29.89 10 3 "Normal"
2016-05-17 60 36 41 30.07 10 5 "Normal"
2016-05-18 54 40 55 30.13 10 4 "Normal"
2016-05-19 55 44 66 30.11 10 6 "Rain"
2016-05-20 61 46 60 30.17 10 3 "Normal"
2016-05-21 65 43 50 30.07 10 6 "Normal"
2016-05-22 57 50 79 29.86 10 7 "Rain"
2016-05-23 62 50 67 29.91 10 5 "Normal"
2016-05-24 56 52 83 29.93 6 8 "Rain"
2016-05-25 71 52 57 29.98 10 4 "Normal"
2016-05-26 69 55 67 30.06 10 5 "Normal"
2016-05-27 66 57 78 30.08 9 6 "Normal"
2016-05-28 80 63 57 30.05 10 4 "Normal"
2016-05-29 65 54 81 30.17 8 7 "Normal"
2016-05-30 64 58 87 29.99 6 8 "Rain"
2016-05-31 78 56 58 29.89 10 4 "Normal"
2016-06-01 65 53 65 30.14 10 3 "Normal"
2016-06-02 59 54 87 30.19 8 7 "Normal"
2016-06-03 64 58 83 30.05 10 7 "Normal"
2016-06-04 66 60 83 29.98 10 7 "Fog"
2016-06-05 64 61 94 29.8 6 8 "Rain"
2016-06-06 75 59 64 29.6 10 4 "Normal"
2016-06-07 75 59 58 29.47 10 5 "Thunderstorm"
2016-06-08 66 48 57 29.49 10 3 "Normal"
2016-06-09 62 41 52 29.66 10 5 "Normal"
2016-06-10 64 44 59 29.91 10 5 "Normal"
2016-06-11 61 54 69 29.88 10 6 "Rain"
2016-06-12 68 51 63 29.57 10 6 "Normal"
2016-06-13 64 46 56 29.67 10 4 "Normal"
2016-06-14 67 45 47 29.81 10 2 "Normal"
2016-06-15 76 47 42 29.85 10 3 "Normal"
2016-06-16 69 53 60 29.79 10 5 "Normal"
2016-06-17 67 51 58 29.97 10 3 "Thunderstorm"
2016-06-18 66 53 69 30.22 10 1 "Normal"
2016-06-19 70 54 67 30.29 10 3 "Normal"
2016-06-20 72 58 68 30.07 10 2 "Normal"
2016-06-21 76 53 54 29.75 10 5 "Thunderstorm"
2016-06-22 71 46 44 29.81 10 3 "Rain"
2016-06-23 69 51 60 29.87 10 4 "Normal"
2016-06-24 67 52 63 30.06 10 2 "Normal"
2016-06-25 66 53 64 30.2 10 0 "Normal"
2016-06-26 72 54 57 30.17 10 2 "Normal"
2016-06-27 75 56 55 30.05 10 4 "Normal"
2016-06-28 74 64 71 29.97 10 7 "Rain"
2016-06-29 77 65 72 29.86 10 6 "Thunderstorm"
2016-06-30 75 58 55 29.96 10 2 "Normal"
2016-07-01 77 62 65 29.95 10 7 "Thunderstorm"
2016-07-02 73 54 59 29.87 10 4 "Normal"
2016-07-03 74 49 43 30.01 10 3 "Normal"
2016-07-04 77 52 46 29.98 10 3 "Normal"
2016-07-05 70 65 77 29.79 6 7 "Rain"
2016-07-06 83 62 63 29.8 10 2 "Normal"
2016-07-07 70 61 81 29.8 6 6 "Fog"
2016-07-08 64 59 87 29.86 7 8 "Rain"
2016-07-09 62 57 83 29.91 9 8 "Rain"
2016-07-10 62 59 91 29.88 8 8 "Rain"
2016-07-11 66 58 74 30.03 10 7 "Normal"
2016-07-12 77 56 54 30.06 10 2 "Normal"
2016-07-13 79 62 63 30.02 10 1 "Normal"
2016-07-14 78 69 72 29.87 10 5 "Rain"
2016-07-15 84 68 61 29.82 10 3 "Normal"
2016-07-16 85 60 47 29.99 10 5 "Normal"
2016-07-17 74 65 79 30.08 9 6 "Normal"
2016-07-18 81 66 65 29.98 10 5 "Thunderstorm"
2016-07-19 76 56 51 30.01 10 4 "Normal"
2016-07-20 75 48 41 30.15 10 1 "Normal"
2016-07-21 79 54 44 30.07 10 2 "Normal"
2016-07-22 86 66 55 29.81 10 3 "Thunderstorm"
2016-07-23 83 63 57 29.75 10 3 "Thunderstorm"
2016-07-24 80 60 58 29.92 10 3 "Normal"
2016-07-25 80 66 66 29.87 10 5 "Normal"
2016-07-26 85 61 52 29.79 10 1 "Normal"
2016-07-27 80 62 58 29.89 10 2 "Normal"
2016-07-28 81 64 57 29.87 10 5 "Normal"
2016-07-29 76 70 81 29.87 10 6 "Rain"
2016-07-30 76 64 71 30.01 10 4 "Normal"
2016-07-31 71 68 92 30.09 9 8 "Rain"
2016-08-01 72 67 85 30.1 10 8 "Rain"
2016-08-02 70 64 83 30.13 10 6 "Rain"
2016-08-03 71 60 71 30.16 10 1 "Normal"
2016-08-04 73 58 59 30.12 10 1 "Normal"
